,TEXT
0,2017-05-10 08:25
1,美国总统特朗普昨天通过白宫宣布，将联邦调查局（FBI）局长·科米开除——将这个“该为涉俄门调查负责”的情报官员扫地出门——CNN报道说，此前各方一直关注特朗普的团队成员在总统竞选时是否“与俄罗斯有共谋”。白宫在一份声明中说，特朗普的决定是基于司法部长塞申斯和副部长罗森斯坦的建议作出的。这是让特朗普上任未满一年，内阁又出现一名遭到“开除”的成员。白宫发言人斯派塞表示，由于FBI局长一职对恢复社会公信力非常关键，而科米明显不能有效领导FBI，在司法部长及副司法部长的建议下，总统特朗普选择撤去科米职务，同时白宫将会尽快物色新任联邦调查局长。而特朗普在声明中还称开除科米对于联邦调查局将是一个全新的里程碑，同时“祝科米今后一切好运”。詹姆斯·科米现年56岁，曾担任乔治·Ｗ·布什政府司法部副部长，系司法部“二号人物”；2013年起被奥巴马任命为联邦调查局局长。美联社报道说，科米因出席国会对俄罗斯影响大选一事的听证会，并说出俄罗斯政府与特朗普团队有“连结”的证词，而被总统开除。今年3月，科米在听证会上首次确认，FBI正在就俄罗斯与特朗普竞选班子可能存在的共谋展开调查：“这包括调查特朗普竞选阵营有关人员与俄罗斯政府任何联系的性质，以及选举班子与俄方行动之间是否有任何协调。”科米还称，俄罗斯总统普京对美国总统人选有明显的倾向性，他喜欢的人选显然不是希拉里。美国情报机构一致认为，俄罗斯企图插手选举，帮助特朗普。“他们希望破坏我们的民主。”
2,卧槽，这不是电影里才会出现的情节吗？？发自手机虎扑m.hupu.com
3,fbl不允许这么nb的科密存在
4,《纸牌屋》的剧情都没这么曲折离奇。。。
5,在美国站错队也很危险。
6,引用4楼@发表的:在美国站错队也很危险。人家只不过换个工作而已，天朝没那么简单吧？
7,引用5楼@发表的:人家只不过换个工作而已，天朝没那么简单吧？分分钟让他去演床戏？哈哈发自手机虎扑m.hupu.com
8,可能是基金会的。。？发自手机虎扑m.hupu.com
9,间谍啊字数
10,*河蟹*。。。。。。。
11,朱江。。。。。
12,哪里是因为这件事被开除，总统竞选的时候此人放弃对希拉里邮件门调查被清冼罢了。
13,敢调查美国国君，大不敬的欺君之罪。应移其三族
14,万恶的资本主义
15,一个叫詹姆斯的科密。。不搞你搞谁
16,詹姆斯科密这名字取的
17,特朗普：开启秋后算账模式发自手机虎扑m.hupu.com
18,涉俄怎么搞的跟涉黑一样……
19,引用5楼@发表的:人家只不过换个工作而已，天朝没那么简单吧？我们这不会如此披露原因我们看到的新闻往往是此人贪污受贿，生活作风败坏，多位情妇。。。反正就是让不明真相的吃瓜群众吐弃此人。。。
20,只是开除，政治生涯结束，要是在某国是要坐牢抄家的。
21,FBI是政府部门FBI的局长说白了就是给总统打工的新领导上任开除个下属外加前朝老臣一点儿毛病没有
22,最逗的是这哥们在跟下属训话的时候看电视才知道自己被开除了……这得啥心情。下属直接反杀发自虎扑体育iPhone客户端
23,校友，来做过lecture发自虎扑体育iPhone客户端
24,fbi局长可是实权人物，这都能开除说明背后已经风起云涌过了发自虎扑体育iPhone客户端
25,不是总统大选的时候就有评论说不管谁上台科米都被开除吗？发自虎扑体育iPhone客户端
26,科密两边都得罪了，能拖到现在不错了发自虎扑体育iPhone客户端
27,现实真的永远都比电影电视好看得多。。一朝天子一朝臣而已。。
28,引用11楼@尘寰无我1发表的:哪里是因为这件事被开除，总统竞选的时候此人放弃对希拉里邮件门调查被清冼罢了。科米根本不想查希拉里的，是他手下以辞职来要挟他才不得不查。发自虎扑体育Android客户端
29,引用27楼@chris君发表的:科米根本不想查希拉里的，是他手下以辞职来要挟他才不得不查。首鼠两端没有好下场，两个都怕得罪。发自虎扑体育iPhone客户端
30,叫詹姆斯姓科密？他的父亲肯定很有故事
31,引用28楼@尘寰无我1发表的:首鼠两端没有好下场，两个都怕得罪。所以开除这种人还是正确的选择，特朗普的强硬不亚于普京发自虎扑体育Android客户端
