,TEXT
0,No Time Found
1,点击头像关注楼主每晚夜猫子不见不散。参与夜猫子话题即可获得夜猫子勋章。放假了，放假了，即将到来的四天假期，对很多上班族来说是美妙的。当然对我这样的全职妈妈，没啥区别。还是很高兴迎来端午呢，因为要出去玩一天，虽然只有一天，但还是很开心呢。一家人出去就是最快乐的事了。你们有安排吗，明天怎么过呢，我计划带糖糖出去吃好吃的呢。今日夜猫子话题。端午假期会出游吗。
2,明天估计没时间出去玩，婆婆在医院，中午回来吃饭，还有小姑子一家来吃饭，得准备饭菜了
3,现在越来越不喜欢过年过节的，就是烧钱
4,明天估计去婆婆他们那边过节了，我可以放假一天了，哈哈哈哈哈哈
5,不能出去啊
6,没有出游的计划，好不容易放个假，都想在家好好睡个觉
7,我不希望过节，一过节我就要带两个孩子，真心累
8,估计就是附近转转，明天准备在家包粽子呢
9,不去哪里玩，说不定还会下雨
10,不去哪就在家
11,明天就在附近玩…孩子爸要应酬…我跟橙子哥都感冒…好好休息…
12,端午节终于可以喘口气了，真心希望昏睡三天三夜
13,孩子那么多作业能上哪去啊
14,我们只有一天假。
15,看情况吧，应该可以出去玩
16,宅在家里了
17,过节就回娘家，明天可以吃到妈妈亲手包的粽子啰
18,照常过，家里好忙
19,端午节在家看孩子，孩子是人家的，伤心
20,明天去看龙舟赛
21,明天也是带闺女出去嗨皮
22,我选择在家呆着，人太多了，你看超市里的人
23,不出去，太热了
24,不出去！两个孩子看不了
25,一个人的端午节，哎…
26,不去了，人太多了
27,还不清楚，宝爸明天还要上班
28,不一定，每天安排的满满的，明天孩子在家写作业，后天出去买买衣服，吃吃喝喝，大后天去妈妈家过生日。周日上学，上班，假期结束。
29,我估计只能带着孩子去拿快递，，写报告
30,可能出门走走！
31,今天在娘家、明天去舅家
32,没计划，吃了个粽子
33,不会去太远，就附近玩玩
34,准备带孩子去海底世界或者是动物园玩
35,我的果果怎么办
36,玩好吃好
37,在家带娃看店
38,只有三天假期的飘过
39,在家陪两个宝贝玩呀
40,再家里过节，不会选择出游，我还要加班呢？
41,回老家，然后童童就不回来了
42,没啥特别
43,有小家伙端午就在家咯
44,回复第19楼嫚儿～：端午节在家看孩子，孩子是人家的，伤心...给谁带孩子啊
45,回复第22楼鹏鹏小晴麻麻：我选择在家呆着，人太多了，你看超市里的人...好多啊，过节促进消费啊
46,回复第32楼小年年mm：没计划，吃了个粽子...我不吃，粘牙
47,回复第35楼爱依然585：我的果果怎么办...带着啊，要不灰去给你
48,回复第41楼骑着蚂蚁观花：回老家，然后童童就不回来了...抱抱，有时间就回去了，大城市里还热呢，让童童回去避暑
49,以下是引用第44楼堇色华年的话：给谁带孩子啊哥哥家的
50,端午节快乐哦，我们全职妈妈放不放假一样，不过老公回来可以帮忙带孩子
51,吃好吃的去
52,跟平常一样
53,以下是引用第48楼堇色华年的话：抱抱，有时间就回去了，大城市里还热呢，让童童回去避暑嗯嗯家里是好些
54,我们去老公外婆家包粽子了！我会吃不会包！哈哈！婆婆去包！我带大宝玩！我嫁外省！婆的娘家就是我娘家啦
